prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,baseline,1,1,13,BenchmarkCompileDuplicateSchemaSources,,BenchmarkCompileDuplicateSchemaSources,475,490516,1236932,894,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileIncludeGraph,,BenchmarkCompileIncludeGraph,153,1544052,7037042,6812,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileChameleonTargetFanout/targets_1,,BenchmarkCompileChameleonTargetFanout/targets_1,1503,163006,312904,489,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileChameleonTargetFanout/targets_8,,BenchmarkCompileChameleonTargetFanout/targets_8,806,286766,903504,1143,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileChameleonTargetFanout/targets_32,,BenchmarkCompileChameleonTargetFanout/targets_32,352,696828,2923409,3181,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileSchemaText,,BenchmarkCompileSchemaText,768,311499,1140336,360,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraints,,BenchmarkValidateIdentityConstraints,777,306269,172344,610,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsRows/rows_10,,BenchmarkValidateIdentityConstraintsRows/rows_10,6241,48935,87048,130,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsRows/rows_100,,BenchmarkValidateIdentityConstraintsRows/rows_100,787,307369,172344,610,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsRows/rows_1000,,BenchmarkValidateIdentityConstraintsRows/rows_1000,88,2935681,1057826,5149,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateIdentityConstraintsRows/rows_10,,BenchmarkSessionValidateIdentityConstraintsRows/rows_10,9580,26534,4168,42,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateIdentityConstraintsRows/rows_100,,BenchmarkSessionValidateIdentityConstraintsRows/rows_100,986,258915,37717,321,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateIdentityConstraintsRows/rows_1000,,BenchmarkSessionValidateIdentityConstraintsRows/rows_1000,99,2692091,445465,4021,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsFields/fields_1,,BenchmarkValidateIdentityConstraintsFields/fields_1,1297,193778,124920,473,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsFields/fields_3,,BenchmarkValidateIdentityConstraintsFields/fields_3,579,380110,165816,1190,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateIdentityConstraintsFields/fields_8,,BenchmarkValidateIdentityConstraintsFields/fields_8,336,706896,232080,2424,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNestedIdentitySelections/depth_16,,BenchmarkSessionValidateNestedIdentitySelections/depth_16,8736,31500,4122,27,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNestedIdentitySelections/depth_64,,BenchmarkSessionValidateNestedIdentitySelections/depth_64,1386,181242,17165,79,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNestedIdentitySelections/depth_256,,BenchmarkSessionValidateNestedIdentitySelections/depth_256,136,1756107,71150,279,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNestedIdentitySelectionPaths,,BenchmarkSessionValidateNestedIdentitySelectionPaths,811,309391,131260,3,paired,,r9-public-1-baseline.txt
